DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;osm/1.points;45000;11;0;0;35;25000;25982832;62012400;60304;25262832;59242100;248839;248273
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;10;25982832;60603000;49845;21265200;49006700;5623;5369
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;100;25982832;60603000;48387;21265200;49006700;6047;5913
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;1000;25982832;60603000;52444;21265200;49006700;7043;6919
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;5000;25982832;60603000;55370;21265200;49006700;8183;7921
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;10000;25982832;60603000;55385;21265200;49006700;7379;7257
AAS2DModePerColorDS;osm/1.points;45000;11;0;0;35;25000;25982832;60603000;53263;21265200;49006700;7055;6798
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;10;25982832;59996200;49436;24779608;1327566400;18458;18274
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;100;25982832;59996200;49734;24779608;1327566400;22289;22104
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;1000;25982832;59996200;52992;24779608;1327566400;27928;27734
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;5000;25982832;59996200;55976;24779608;1327566400;33079;32847
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;10000;25982832;59996200;55774;24779608;1327566400;33867;33737
AAS2DModeGridDS;osm/1.points;45000;11;0;0;35;25000;25982832;59996200;52878;24779608;1327566400;29127;29019
