DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;100;29861616;67490600;50316;25692640;58561000;5374;5152
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;1000;29861616;67490600;54155;25692640;58561000;5864;5720
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;5000;29861616;67490600;56972;25692640;58561000;6342;6180
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;10000;29861616;67490600;56410;25692640;58561000;6143;6061
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;25000;29861616;67490600;61894;25692640;58561000;6061;5594
AAS2DModePerColorDS;osm/bieleveld.points;51216;8;0;0;37;50000;29861616;67490600;52532;25692640;58561000;2190;2177
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;10;29861616;67664700;51947;29752236;1567320200;19026;18900
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;100;29861616;67664700;50299;29752236;1567320200;22648;22525
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;1000;29861616;67664700;54987;29752236;1567320200;27563;27424
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;5000;29861616;67664700;56346;29752236;1567320200;31759;31573
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;10000;29861616;67664700;57070;29752236;1567320200;32525;32371
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;25000;29861616;67664700;57625;29752236;1567320200;29874;29515
AAS2DModeGridDS;osm/bieleveld.points;51216;8;0;0;37;50000;29861616;67664700;52676;29752236;1567320200;22971;22892
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;10;35187456;83277000;55398;34231440;80328900;3381;3263
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;100;35187456;83277000;53266;34231440;80328900;5917;5751
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;1000;35187456;83277000;57324;34231440;80328900;15628;15352
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;5000;35187456;83277000;62065;34231440;80328900;50725;50314
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;10000;35187456;83277000;63771;34231440;80328900;93108;92132
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;25000;35187456;83277000;63419;34231440;80328900;220594;219493
AAS2DModeReportDS;osm/bieleveld.points;59751;8;0;0;39;50000;35187456;83277000;62113;34231440;80328900;705769;703471
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;10;35187456;81461200;55790;30467232;71089100;5244;4933
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;100;35187456;81461200;54014;30467232;71089100;5811;5592
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;1000;35187456;81461200;56901;30467232;71089100;6261;6097
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;5000;35187456;81461200;59087;30467232;71089100;6471;6316
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;10000;35187456;81461200;60317;30467232;71089100;6931;6630
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;25000;35187456;81461200;60581;30467232;71089100;6020;5732
AAS2DModePerColorDS;osm/bieleveld.points;59751;8;0;0;39;50000;35187456;81461200;54577;30467232;71089100;2688;2582
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;10;35187456;80910400;56410;35246576;2032553900;21040;20860
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;100;35187456;80910400;53739;35246576;2032553900;24500;24330
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;1000;35187456;80910400;59586;35246576;2032553900;30288;29903
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;5000;35187456;80910400;62857;35246576;2032553900;35228;34877
AAS2DModeGridDS;osm/bieleveld.points;59751;8;0;0;39;10000;35187456;80910400;62783;35246576;2032553900;36293;36004
